티커,종목명,현재가($),수익률(%)
FWRD,Forward Air Corporation Common Stock,29.75,16.9
DNOW,DNOW Inc. Common Stock,16.05,16.9
PDS,Precision Drilling Corporation Common Stock,83.83,16.9
AAON,AAON Inc. Common Stock,95.24,16.89
OC,Owens Corning Inc Common Stock New,132.83,16.87
AEBI,Aebi Schmidt Holding AG Common Stock ,15.2,16.83
TK,Teekay Corporation Ltd. Common Stock,10.21,16.82
HP,Helmerich & Payne Inc. Common Stock,36.41,16.81
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),57.23,16.75
CLBK,Columbia Financial Inc. Common Stock,18.41,16.74
IE,Ivanhoe Electric Inc. Common Stock,18.87,16.7
MCHP,Microchip Technology Incorporated Common Stock,78.23,16.66
LW,Lamb Weston Holdings Inc. Common Stock ,47.78,16.65
KRMN,Karman Holdings Inc. Common Stock,97.94,16.61
BC,Brunswick Corporation Common Stock,88.22,16.59
TTEK,Tetra Tech Inc. Common Stock,40.72,16.58
LOB,Live Oak Bancshares Inc. Common Stock,41.69,16.58
RUSHB,Rush Enterprises Inc. Class B,65.02,16.57
ALSN,Allison Transmission Holdings Inc. Common Stock,114.2,16.57
SFBS,ServisFirst Bancshares Inc. Common Stock,85.85,16.53
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,59.54,16.47
FBNC,First Bancorp Common Stock,60.52,16.47
LEG,Leggett & Platt Incorporated Common Stock,12.87,16.47
PSMT,PriceSmart Inc. Common Stock,148.09,16.46
PLOW,Douglas Dynamics Inc. Common Stock,39.27,16.46
TPL,Texas Pacific Land Corporation Common Stock,346.47,16.44
DOLE,Dole plc Ordinary Shares,16.37,16.43
CAC,Camden National Corporation Common Stock,50.91,16.4
UNFI,United Natural Foods Inc. Common Stock,38.72,16.38
HAFN,Hafnia Limited Common Shares,6.11,16.38
SYY,Sysco Corporation Common Stock,84.65,16.29
MYE,Myers Industries Inc. Common Stock,21.77,16.29
NDSN,Nordson Corporation Common Stock,285.95,16.29
IFS,Intercorp Financial Services Inc. Common Shares,49.7,16.28
SDRL,Seadrill Limited Common Shares,39.61,16.26
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,6.01,16.23
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,13.7,16.2
ESE,ESCO Technologies Inc. Common Stock,234.05,16.12
VTRS,Viatris Inc. Common Stock,14.36,16.09
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share,18.21,16.06
ERO,Ero Copper Corp. Common Shares,35.24,16.04
KGS,Kodiak Gas Services Inc. Common Stock,42.4,16.04
PKX,POSCO HOLDINGS INC. American Depositary Shares (Each representing 1/4th of a share of Common Stock),61.45,16.03
FLOC,Flowco Holdings Inc. Class A Common Stock,22.15,16.03
UUUU,Energy Fuels Inc Ordinary Shares (Canada),21.42,15.97
RGLD,Royal Gold Inc. Common Stock,265.89,15.95
RIO,Rio Tinto Plc Common Stock,96.48,15.95
AMTM,Amentum Holdings Inc. Common Stock,36.45,15.94
VTOL,Bristow Group Inc. Common Stock,44.75,15.93
WWD,Woodward Inc. Common Stock,373.31,15.9
